run_uid,configuration_uid,stress_max_producers,stress_expected_throughput_gbps,stress_min_throughput,stress_max_throughput,num_consumers,replication_factor,soak_num_producers,soak_expected_throughput_gbps,soak_min_throughput,soak_max_throughput,soak_average_throughput
run_6904B2,64D238,4,2.4,0.9384534448000124,2.4073294256000355,3,2,0,0,0,0,0
run_6904B2,44A944,2,1.2,3.3248e-06,1.202467344000013,4,3,1,0.6,0.0016817913599999996,0.6002743542400051,0.23930426805768823
run_6904B2,CD733D,3,1.7999999999999998,0.34681911520000136,1.5408813024000192,2,3,1,0.6,3.1836761904761903e-07,0.5525092803200043,0.12689727278210466
run_6904B2,881F3F,3,1.7999999999999998,0.0756054623999999,1.6860857296000213,1,3,0,0,0,0,0
run_6904B2,E0D447,9,5.3999999999999995,0.6012361392000052,4.986279494400084,4,1,0,0,0,0,0
run_6904B2,F7D6BE,4,2.4,0.7080377920000067,2.2741155584000317,1,2,4,2.4,0.07584675103999991,2.328118222400029,1.1552147268496993
run_6904B2,EA8505,3,1.7999999999999998,0.1608162143999996,1.539683340800019,3,3,0,0,0,0,0
run_6904B2,0F7225,3,1.7999999999999998,0.4992359360000037,1.806100404800023,4,2,2,1.2,0.0021623136000000005,1.196947071680014,0.5373837088660641
run_6904B2,861E60,7,4.2,1.8428164889600263,4.2002130368000605,3.8196786996859813,1,1
run_6904B2,F6D20D,7,4.2,2.480534222400036,4.215819825600062,2,1,7,4.2,3.1657668400000434,4.2002190560000585,4.065490863021943
run_6904B2,A064D5,4,2.4,0.6384377696000058,2.3269218112000325,2,2,0,0,0,0,0
